"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2000","European Union (28 countries)","Euro per inhabitant","19.000",""
"2001","European Union (28 countries)","Euro per inhabitant","19.700",""
"2002","European Union (28 countries)","Euro per inhabitant","20.400",""
"2003","European Union (28 countries)","Euro per inhabitant","20.600",""
"2004","European Union (28 countries)","Euro per inhabitant","21.600",""
"2005","European Union (28 countries)","Euro per inhabitant","22.400",""
"2006","European Union (28 countries)","Euro per inhabitant","23.600",""
"2007","European Union (28 countries)","Euro per inhabitant","24.900",""
"2008","European Union (28 countries)","Euro per inhabitant","25.000",""
"2009","European Union (28 countries)","Euro per inhabitant","23.400",""
"2010","European Union (28 countries)","Euro per inhabitant","24.400",""
"2011","European Union (28 countries)","Euro per inhabitant","25.100",""
"2000","European Union (27 countries)","Euro per inhabitant","19.100",""
"2001","European Union (27 countries)","Euro per inhabitant","19.800",""
"2002","European Union (27 countries)","Euro per inhabitant","20.500",""
"2003","European Union (27 countries)","Euro per inhabitant","20.800",""
"2004","European Union (27 countries)","Euro per inhabitant","21.700",""
"2005","European Union (27 countries)","Euro per inhabitant","22.500",""
"2006","European Union (27 countries)","Euro per inhabitant","23.700",""
"2007","European Union (27 countries)","Euro per inhabitant","25.100",""
"2008","European Union (27 countries)","Euro per inhabitant","25.100",""
"2009","European Union (27 countries)","Euro per inhabitant","23.500",""
"2010","European Union (27 countries)","Euro per inhabitant","24.500",""
"2011","European Union (27 countries)","Euro per inhabitant","25.200",""
"2000","Belgium","Euro per inhabitant","24.600",""
"2001","Belgium","Euro per inhabitant","25.300",""
"2002","Belgium","Euro per inhabitant","26.000",""
"2003","Belgium","Euro per inhabitant","26.600",""
"2004","Belgium","Euro per inhabitant","28.000",""
"2005","Belgium","Euro per inhabitant","29.000",""
"2006","Belgium","Euro per inhabitant","30.200",""
"2007","Belgium","Euro per inhabitant","31.600",""
"2008","Belgium","Euro per inhabitant","32.400",""
"2009","Belgium","Euro per inhabitant","31.600",""
"2010","Belgium","Euro per inhabitant","32.700",""
"2011","Belgium","Euro per inhabitant","33.600",""
"2000","Bulgaria","Euro per inhabitant","1.700",""
"2001","Bulgaria","Euro per inhabitant","2.000",""
"2002","Bulgaria","Euro per inhabitant","2.200",""
"2003","Bulgaria","Euro per inhabitant","2.400",""
"2004","Bulgaria","Euro per inhabitant","2.600",""
"2005","Bulgaria","Euro per inhabitant","3.000",""
"2006","Bulgaria","Euro per inhabitant","3.400",""
"2007","Bulgaria","Euro per inhabitant","4.000",""
"2008","Bulgaria","Euro per inhabitant","4.600",""
"2009","Bulgaria","Euro per inhabitant","4.600",""
"2010","Bulgaria","Euro per inhabitant","4.800",""
"2011","Bulgaria","Euro per inhabitant","5.200",""
"2000","Czech Republic","Euro per inhabitant","6.200",""
"2001","Czech Republic","Euro per inhabitant","7.000",""
"2002","Czech Republic","Euro per inhabitant","8.200",""
"2003","Czech Republic","Euro per inhabitant","8.300",""
"2004","Czech Republic","Euro per inhabitant","9.000",""
"2005","Czech Republic","Euro per inhabitant","10.200",""
"2006","Czech Republic","Euro per inhabitant","11.500",""
"2007","Czech Republic","Euro per inhabitant","12.800",""
"2008","Czech Republic","Euro per inhabitant","14.800",""
"2009","Czech Republic","Euro per inhabitant","13.600",""
"2010","Czech Republic","Euro per inhabitant","14.300",""
"2011","Czech Republic","Euro per inhabitant","14.800",""
"2000","Denmark","Euro per inhabitant","32.500",""
"2001","Denmark","Euro per inhabitant","33.500",""
"2002","Denmark","Euro per inhabitant","34.400",""
"2003","Denmark","Euro per inhabitant","35.000",""
"2004","Denmark","Euro per inhabitant","36.500",""
"2005","Denmark","Euro per inhabitant","38.300",""
